Samples:              1000
Code base length:     50
Closeness difference: 8

Sample  Min_diff  Max_diff  Num_close
   739         7        20          1
   740         1        14        807
   741         1        15        646
   742         2        15        782
   743         3        16        457
   744         1        14        877
   745         3        15        489
   746         3        16        621
   747         4        15        247
   748         5        18         89
   749         9        19          0
   750         4        16        262
   751         3        14        624
   752         6        19         28
   753         1        13        891
   754         5        17        122
   755         3        16        258
   756         2        15        664
   757         3        15        292
   758         4        14        446
   759         4        16        284
   760         5        18         47
   761         3        16        441
   762         5        17        112
   763         3        15        470
   764         3        15        598
   765         2        15        627
   766         4        14        428
   767         3        16        496
   768         3        14        450
   769         3        13        642
   770         1        15        773
   771         4        16        285
   772         3        16        424
   773         3        15        441
   774         4        15        427
   775         6        18         32
   776         2        15        657
   777         5        18        143
   778         4        15        348
   779         1        14        875
   780         4        17        288
   781         3        15        437
   782         4        16        180
   783         1        14        821
   784         1        13        889
   785         4        16        245
   786         2        14        639
   787         4        15        278
   788         8        19          0
   789         5        17        127
   790         6        17         31
   791         4        16        267
   792         4        15        414
   793         5        18        109
   794         2        15        641
   795         4        17        241
   796         7        18          1
   797         1        13        816
   798         2        14        788
   799         3        15        620
   800         3        15        437
   801         4        16        272
   802         4        15        405
   803         4        15        443
   804         2        13        792
   805         4        16        159
   806         3        15        505
   807         4        16        404
   808         4        17        283
   809         3        16        446
   810         5        19         48
   811         6        19         15
   812         3        15        634
   813         6        17        106
   814         3        15        415
   815         6        20         37
   816         3        16        258
   817         5        16        223
   818         4        15        409
   819         3        16        483
   820         5        17        264
   821         4        16        328
   822         3        15        602
   823         6        17         40
   824         4        17        158
   825         4        16        253
   826         3        15        445
   827         2        15        784
   828         1        13        880
   829         6        17         25
   830         4        16        229
   831         3        14        455
   832         4        17         99
   833         4        18        263
   834         5        17        140
   835         3        14        524
   836         5        16        122
   837         5        18        117
   838         7        18          7
   839         4        17         96
   840         4        16        235
   841         3        14        648
   842         1        14        768
   843         1        14        793
   844         3        14        611
   845         2        15        622
   846         5        19         54
   847         7        17         21
   848         0        14        880
   849         3        15        599
   850         3        17        310
   851         3        16        296
   852         5        17        268
   853         0        13        938
   854        10        21          0
   855         2        14        772
   856         4        16        255
   857         3        15        519
   858         5        16        146
   859         3        16        454
   860         6        17         31
