Samples:              1000
Code base length:     100
Closeness difference: 17

Sample  Min_diff  Max_diff  Num_close
   929         9        24        573
   930         7        22        885
   931         9        26        457
   932         8        25        823
   933        10        24        469
   934        12        26        256
   935         9        24        639
   936         5        20        987
   937         7        22        828
   938        12        27        141
   939         9        27        521
   940        10        29        328
   941        14        30         30
   942         6        23        768
   943         8        23        799
   944        10        25        496
   945         7        23        749
   946         8        24        756
   947         7        25        846
   948        11        25        388
   949         5        22        906
   950         9        24        663
   951         8        25        562
   952        13        28        175
   953         8        24        746
   954         9        24        544
   955        13        28        114
   956         8        25        743
   957         9        24        738
   958         8        25        682
   959         8        25        806
   960         9        26        520
   961         7        22        862
   962        10        29        287
   963        10        25        572
   964         6        22        914
   965        11        28        421
   966         8        25        800
   967         6        21        940
   968        12        28        250
   969        10        25        451
   970        13        27        158
   971        10        26        418
   972         8        25        648
   973        10        25        408
   974         9        26        744
   975         9        25        627
   976        13        29         80
   977        11        29        212
   978        11        26        394
   979        11        27        266
   980        12        27        211
   981        10        26        543
   982         7        23        754
   983        13        28        162
   984        12        27        257
   985        12        28        221
   986         7        23        727
   987        10        26        456
   988         7        23        770
   989        11        25        371
   990         8        23        658
   991        11        27        290
   992         8        24        622
   993        12        27        141
   994        13        31        101
   995         8        24        672
   996         5        23        940
   997        10        28        439
   998         9        25        615
   999        13        27        157
